latin	shavian	part of speech	pronunciation	frequency
betokened	𐑚𐑦𐑑𐑴𐑒𐑩𐑯𐑛			
betokening	𐑚𐑦𐑑𐑴𐑒𐑩𐑯𐑦𐑙			
betokens	𐑚𐑦𐑑𐑴𐑒𐑩𐑯𐑟			
betook	𐑚𐑦𐑑𐑫𐑒			
betrayers	𐑚𐑦𐑑𐑮𐑱𐑼𐑟			
betroth	𐑚𐑦𐑑𐑮𐑴𐑞			
betrothal	𐑚𐑦𐑑𐑮𐑴𐑞𐑩𐑤			
betrothals	𐑚𐑦𐑑𐑮𐑴𐑞𐑩𐑤𐑟			
betrotheds	𐑚𐑦𐑑𐑮𐑴𐑞𐑛𐑟			
betrothing	𐑚𐑦𐑑𐑮𐑴𐑞𐑦𐑙			
betroths	𐑚𐑦𐑑𐑮𐑴𐑞𐑟			
betted	𐑚𐑧𐑑𐑩𐑛			
bettered	𐑚𐑧𐑑𐑼𐑛			
bettering	𐑚𐑧𐑑𐑼𐑦𐑙			
betterment	𐑚𐑧𐑑𐑼𐑥𐑩𐑯𐑑			
betters	𐑚𐑧𐑑𐑼𐑟			
bettor	𐑚𐑧𐑑𐑼			
bettors	𐑚𐑧𐑑𐑼𐑟			
bettys	𐑚𐑧𐑑𐑦𐑟			
betwixt	𐑚𐑦𐑑𐑢𐑦𐑒𐑕𐑑			
bevelled	𐑚𐑧𐑝𐑩𐑤𐑛			
bevelling	𐑚𐑧𐑝𐑩𐑤𐑦𐑙			
bevels	𐑚𐑧𐑝𐑩𐑤𐑟			
beverley	𐑚𐑧𐑝𐑼𐑤𐑦			
bevies	𐑚𐑧𐑝𐑦𐑟			
bevy	𐑚𐑧𐑝𐑦			
bewail	𐑚𐑦𐑢𐑱𐑤			
bewailed	𐑚𐑦𐑢𐑱𐑤𐑛			
bewailing	𐑚𐑦𐑢𐑱𐑤𐑦𐑙			
bewails	𐑚𐑦𐑢𐑱𐑤𐑟			
bewdley	𐑚𐑿𐑛𐑤𐑦			
bewilder	𐑚𐑦𐑢𐑦𐑤𐑛𐑼			
bewildering	𐑚𐑦𐑢𐑦𐑤𐑛𐑼𐑦𐑙			
bewilderment	𐑚𐑦𐑢𐑦𐑤𐑛𐑼𐑥𐑩𐑯𐑑			
bewilders	𐑚𐑦𐑢𐑦𐑤𐑛𐑼𐑟			
bewitch	𐑚𐑦𐑢𐑦𐑗			
bewitches	𐑚𐑦𐑢𐑦𐑗𐑩𐑟			
bewitching	𐑚𐑦𐑢𐑦𐑗𐑦𐑙			
bewitchingly	𐑚𐑦𐑢𐑦𐑗𐑦𐑙𐑤𐑦			
bexhill	𐑚𐑧𐑒𐑕𐑣𐑦𐑤			
bexley	𐑚𐑧𐑒𐑕𐑤𐑦			
bey	𐑚𐑱			
beys	𐑚𐑱𐑟			
bezier	𐑚𐑧𐑟𐑦𐑱			
bezique	𐑚𐑦𐑟𐑰𐑒			
bhang	𐑚𐑨𐑙			
bhangs	𐑚𐑨𐑙𐑟			
bhutan	𐑚𐑵𐑑𐑭𐑯			
bhutani	𐑚𐑵𐑑𐑭𐑯𐑦			
bhutanis	𐑚𐑵𐑑𐑭𐑯𐑦𐑟			
bi-curious	𐑚𐑲-𐑒𐑘𐑫𐑼𐑾𐑕			
biases	𐑚𐑲𐑩𐑕𐑩𐑟			
biasing	𐑚𐑲𐑩𐑕𐑦𐑙			
biassed	𐑚𐑲𐑩𐑕𐑑			
bibbed	𐑚𐑦𐑚𐑛			
bibbing	𐑚𐑦𐑚𐑦𐑙			
bibliographer	𐑚𐑦𐑚𐑤𐑦𐑪𐑜𐑮𐑩𐑓𐑼			
bibliographers	𐑚𐑦𐑚𐑤𐑦𐑪𐑜𐑮𐑩𐑓𐑼𐑟			
bibliographies	𐑚𐑦𐑚𐑤𐑦𐑪𐑜𐑮𐑩𐑓𐑦𐑟			
bibliophile	𐑚𐑦𐑚𐑤𐑦𐑴𐑓𐑲𐑤			
bibliophiles	𐑚𐑦𐑚𐑤𐑦𐑴𐑓𐑲𐑤𐑟			
bibs	𐑚𐑦𐑚𐑟			
bibulous	𐑚𐑦𐑚𐑿𐑤𐑩𐑕			
bicameral	𐑚𐑲𐑒𐑨𐑥𐑼𐑩𐑤			
bicarbonate	𐑚𐑲𐑒𐑸𐑚𐑩𐑯𐑩𐑑			
bicentenaries	𐑚𐑲𐑕𐑧𐑯𐑑𐑧𐑯𐑼𐑦𐑟			
bicentenary	𐑚𐑲𐑕𐑧𐑯𐑑𐑧𐑯𐑼𐑦			
bicentennials	𐑚𐑲𐑕𐑧𐑯𐑑𐑧𐑯𐑾𐑤𐑟			
bicester	𐑚𐑦𐑕𐑑𐑼			
bickered	𐑚𐑦𐑒𐑼𐑛			
bickers	𐑚𐑦𐑒𐑼𐑟			
bicycled	𐑚𐑲𐑕𐑦𐑒𐑩𐑤𐑛			
bicycling	𐑚𐑲𐑕𐑦𐑒𐑩𐑤𐑦𐑙			
biddable	𐑚𐑦𐑛𐑩𐑚𐑩𐑤			
bidden	𐑚𐑦𐑛𐑩𐑯			
bidders	𐑚𐑦𐑛𐑼𐑟			
biddulph	𐑚𐑦𐑛𐑳𐑤𐑓			
bided	𐑚𐑲𐑛𐑩𐑛			
bideford	𐑚𐑦𐑛𐑦𐑓𐑼𐑛			
biden	𐑚𐑲𐑛𐑩𐑯			
bides	𐑚𐑲𐑛𐑟			
bidets	𐑚𐑰𐑛𐑱𐑟			
bielefeld	𐑚𐑰𐑤𐑩𐑓𐑧𐑤𐑛			
biennial	𐑚𐑲𐑧𐑯𐑾𐑤			
biennially	𐑚𐑲𐑧𐑯𐑾𐑤𐑦			
biennials	𐑚𐑲𐑧𐑯𐑾𐑤𐑟			
bier	𐑚𐑽			
biers	𐑚𐑽𐑟			
biffed	𐑚𐑦𐑓𐑑			
biffing	𐑚𐑦𐑓𐑦𐑙			
biffs	𐑚𐑦𐑓𐑕			
bifocal	𐑚𐑲𐑓𐑴𐑒𐑩𐑤			
bifocals	𐑚𐑲𐑓𐑴𐑒𐑩𐑤𐑟			
bifurcate	𐑚𐑲𐑓𐑼𐑒𐑱𐑑			
bifurcated	𐑚𐑲𐑓𐑼𐑒𐑱𐑑𐑩𐑛			
bifurcates	𐑚𐑲𐑓𐑼𐑒𐑱𐑑𐑕			
bifurcating	𐑚𐑲𐑓𐑼𐑒𐑱𐑑𐑦𐑙			
bifurcation	𐑚𐑲𐑓𐑼𐑒𐑱𐑖𐑩𐑯			
bifurcations	𐑚𐑲𐑓𐑼𐑒𐑱𐑖𐑩𐑯𐑟			
bigamists	𐑚𐑦𐑜𐑩𐑥𐑦𐑕𐑑𐑕			
bigamous	𐑚𐑦𐑜𐑩𐑥𐑩𐑕			
biggleswade	𐑚𐑦𐑜𐑩𐑤𐑟𐑢𐑱𐑛			
bight	𐑚𐑲𐑑			
bights	𐑚𐑲𐑑𐑕			
bigotries	𐑚𐑦𐑜𐑩𐑑𐑮𐑦𐑟			
bigots	𐑚𐑦𐑜𐑩𐑑𐑕			
bigwig	𐑚𐑦𐑜𐑢𐑦𐑜			
bigwigs	𐑚𐑦𐑜𐑢𐑦𐑜𐑟			
biked	𐑚𐑲𐑒𐑑			
bilabial	𐑚𐑲𐑤𐑱𐑚𐑾𐑤			
bilabials	𐑚𐑲𐑤𐑱𐑚𐑾𐑤𐑟			
bilateralism	𐑚𐑲𐑤𐑨𐑑𐑼𐑩𐑤𐑦𐑟𐑩𐑥			
bilateralisms	𐑚𐑲𐑤𐑨𐑑𐑼𐑩𐑤𐑦𐑟𐑩𐑥𐑟			
bilaterally	𐑚𐑲𐑤𐑨𐑑𐑼𐑩𐑤𐑦			
bilbao	𐑚𐑦𐑤𐑚𐑬			
bilberries	𐑚𐑦𐑤𐑚𐑧𐑮𐑦𐑟			
bilberry	𐑚𐑦𐑤𐑚𐑧𐑮𐑦			
bilge	𐑚𐑦𐑤𐑡			
bilharzia	𐑚𐑦𐑤𐑣𐑸𐑟𐑾			
bilingual	𐑚𐑲𐑤𐑦𐑙𐑜𐑢𐑩𐑤			
bilinguals	𐑚𐑲𐑤𐑦𐑙𐑜𐑢𐑩𐑤𐑟			
bilious	𐑚𐑦𐑤𐑾𐑕			
biliousness	𐑚𐑦𐑤𐑾𐑕𐑯𐑩𐑕			
bilking	𐑚𐑦𐑤𐑒𐑦𐑙			
bilks	𐑚𐑦𐑤𐑒𐑕			
billericay	𐑚𐑦𐑤𐑼𐑦𐑒𐑦			
billet	𐑚𐑦𐑤𐑩𐑑			
billeted	𐑚𐑦𐑤𐑩𐑑𐑩𐑛			
billeting	𐑚𐑦𐑤𐑩𐑑𐑦𐑙			
billets	𐑚𐑦𐑤𐑩𐑑𐑕			
billfold	𐑚𐑦𐑤𐑓𐑴𐑤𐑛			
billfolds	𐑚𐑦𐑤𐑓𐑴𐑤𐑛𐑟			
billhook	𐑚𐑦𐑤𐑣𐑫𐑒			
billhooks	𐑚𐑦𐑤𐑣𐑫𐑒𐑕			
billies	𐑚𐑦𐑤𐑦𐑟			
billingsgate	𐑚𐑦𐑤𐑦𐑙𐑟𐑜𐑱𐑑			
billington	𐑚𐑦𐑤𐑦𐑙𐑑𐑩𐑯			
billionth	𐑚𐑦𐑤𐑾𐑯𐑔			
billionths	𐑚𐑦𐑤𐑾𐑯𐑔𐑕			
billow	𐑚𐑦𐑤𐑴			
billowed	𐑚𐑦𐑤𐑴𐑛			
billowing	𐑚𐑦𐑤𐑴𐑦𐑙			
billows	𐑚𐑦𐑤𐑴𐑟			
billowy	𐑚𐑦𐑤𐑴𐑦			
biltong	𐑚𐑦𐑤𐑑𐑪𐑙			
bimetallic	𐑚𐑲𐑥𐑦𐑑𐑨𐑤𐑦𐑒			
bimetallism	𐑚𐑲𐑥𐑧𐑑𐑩𐑤𐑦𐑟𐑩𐑥			
binderies	𐑚𐑲𐑯𐑛𐑼𐑦𐑟			
binders	𐑚𐑲𐑯𐑛𐑼𐑟			
bindery	𐑚𐑲𐑯𐑛𐑼𐑦			
bindings	𐑚𐑲𐑯𐑛𐑦𐑙𐑟			
bindweed	𐑚𐑲𐑯𐑛𐑢𐑰𐑛			
bine	𐑚𐑲𐑯			
bines	𐑚𐑲𐑯𐑟			
binges	𐑚𐑦𐑯𐑡𐑩𐑟			
bingley	𐑚𐑦𐑙𐑤𐑦			
bingleys	𐑚𐑦𐑙𐑤𐑦𐑟			
binnacle	𐑚𐑦𐑯𐑩𐑒𐑩𐑤			
binnacles	𐑚𐑦𐑯𐑩𐑒𐑩𐑤𐑟			
binomial	𐑚𐑲𐑯𐑴𐑥𐑾𐑤			
biochemistries	𐑚𐑲𐑴𐑒𐑧𐑥𐑦𐑕𐑑𐑮𐑦𐑟			
biochemistry	𐑚𐑲𐑴𐑒𐑧𐑥𐑦𐑕𐑑𐑮𐑦			
biodiversity	𐑚𐑲𐑴𐑛𐑲𐑝𐑻𐑕𐑦𐑑𐑦			
biograph	𐑚𐑲𐑩𐑜𐑮𐑨𐑓			
biographer	𐑚𐑲𐑪𐑜𐑮𐑩𐑓𐑼			
biographers	𐑚𐑲𐑪𐑜𐑮𐑩𐑓𐑼𐑟			
biographic	𐑚𐑲𐑩𐑜𐑮𐑨𐑓𐑦𐑒			
biographs	𐑚𐑲𐑩𐑜𐑮𐑨𐑓𐑕			
biologists	𐑚𐑲𐑪𐑤𐑩𐑡𐑦𐑕𐑑𐑕			
bioluminescent	𐑚𐑲𐑴𐑤𐑵𐑥𐑦𐑯𐑧𐑕𐑩𐑯𐑑			
biomed	𐑚𐑲𐑴𐑥𐑧𐑛			
bionics	𐑚𐑲𐑪𐑯𐑦𐑒𐑕			
bioscope	𐑚𐑲𐑩𐑕𐑒𐑴𐑐			
bioscopes	𐑚𐑲𐑩𐑕𐑒𐑴𐑐𐑕			
biotechnologist	𐑚𐑲𐑴𐑑𐑧𐑒𐑯𐑪𐑤𐑩𐑡𐑦𐑕𐑑			
biotechnologists	𐑚𐑲𐑴𐑑𐑧𐑒𐑯𐑪𐑤𐑩𐑡𐑦𐑕𐑑𐑕			
biotechnology	𐑚𐑲𐑴𐑑𐑧𐑒𐑯𐑪𐑤𐑩𐑡𐑦			
biped	𐑚𐑲𐑐𐑧𐑛			
bipeds	𐑚𐑲𐑐𐑧𐑛𐑟			
biplane	𐑚𐑲𐑐𐑤𐑱𐑯			
biplanes	𐑚𐑲𐑐𐑤𐑱𐑯𐑟			
birched	𐑚𐑻𐑗𐑑			
birches	𐑚𐑻𐑗𐑩𐑟			
birching	𐑚𐑻𐑗𐑦𐑙			
birdcages	𐑚𐑻𐑛𐑒𐑱𐑡𐑩𐑟			
birdlife	𐑚𐑻𐑛𐑤𐑲𐑓			
birdlime	𐑚𐑻𐑛𐑤𐑲𐑥			
birdlimes	𐑚𐑻𐑛𐑤𐑲𐑥𐑟			
birdnesting	𐑚𐑻𐑛𐑯𐑧𐑕𐑑𐑦𐑙			
birdseye	𐑚𐑻𐑛𐑟𐑲			
birdsong	𐑚𐑻𐑛𐑕𐑪𐑙			
birdwatcher	𐑚𐑻𐑛𐑢𐑪𐑗𐑼			
birdwatchers	𐑚𐑻𐑛𐑢𐑪𐑗𐑼𐑟			
biretta	𐑚𐑦𐑮𐑧𐑑𐑩			
birettas	𐑚𐑦𐑮𐑧𐑑𐑩𐑟			
birkenhead	𐑚𐑻𐑒𐑩𐑯𐑣𐑧𐑛			
biro	𐑚𐑲𐑮𐑴			
biros	𐑚𐑲𐑮𐑴𐑟			
birrell	𐑚𐑦𐑮𐑩𐑤			
birstall	𐑚𐑻𐑕𐑑𐑷𐑤			
birthmarks	𐑚𐑻𐑔𐑥𐑸𐑒𐑕			
birthplaces	𐑚𐑻𐑔𐑐𐑤𐑱𐑕𐑩𐑟			
birthrate	𐑚𐑻𐑔𐑮𐑱𐑑			
birthrates	𐑚𐑻𐑔𐑮𐑱𐑑𐑕			
birthrights	𐑚𐑻𐑔𐑮𐑲𐑑𐑕			
birtley	𐑚𐑻𐑑𐑤𐑦			
bisect	𐑚𐑲𐑕𐑧𐑒𐑑			
bisected	𐑚𐑲𐑕𐑧𐑒𐑑𐑩𐑛			
bisecting	𐑚𐑲𐑕𐑧𐑒𐑑𐑦𐑙			
bisection	𐑚𐑲𐑕𐑧𐑒𐑖𐑩𐑯			
bisects	𐑚𐑲𐑕𐑧𐑒𐑑𐑕			
bisexuality	𐑚𐑲𐑕𐑧𐑒𐑖𐑵𐑨𐑤𐑦𐑑𐑦			
bisexuals	𐑚𐑲𐑕𐑧𐑒𐑖𐑵𐑩𐑤𐑟			
bishopbriggs	𐑚𐑦𐑖𐑩𐑐𐑚𐑮𐑦𐑜𐑟			
bishopric	𐑚𐑦𐑖𐑩𐑐𐑮𐑦𐑒			
bishoprics	𐑚𐑦𐑖𐑩𐑐𐑮𐑦𐑒𐑕			
bismuth	𐑚𐑦𐑟𐑥𐑩𐑔			
bisons	𐑚𐑲𐑕𐑩𐑯𐑟			
bistros	𐑚𐑰𐑕𐑑𐑮𐑴𐑟			
bisulphate	𐑚𐑲𐑕𐑳𐑤𐑓𐑱𐑑			
bitched	𐑚𐑦𐑗𐑑			
bitchier	𐑚𐑦𐑗𐑽			
bitchiest	𐑚𐑦𐑗𐑾𐑕𐑑			
bitcoin	𐑚𐑦𐑑𐑒𐑶𐑯			
bitingly	𐑚𐑲𐑑𐑦𐑙𐑤𐑦			
bitted	𐑚𐑦𐑑𐑩𐑛			
bitterest	𐑚𐑦𐑑𐑼𐑩𐑕𐑑			
bittern	𐑚𐑦𐑑𐑼𐑯			
bitterns	𐑚𐑦𐑑𐑼𐑯𐑟			
bitters	𐑚𐑦𐑑𐑼𐑟			
bitumen	𐑚𐑦𐑑𐑵𐑥𐑩𐑯			
bituminous	𐑚𐑦𐑑𐑵𐑥𐑦𐑯𐑩𐑕			
bivalve	𐑚𐑲𐑝𐑨𐑤𐑝			
bivalves	𐑚𐑲𐑝𐑨𐑤𐑝𐑟			
bivouac	𐑚𐑦𐑝𐑫𐑨𐑒			
bivouacked	𐑚𐑦𐑝𐑫𐑨𐑒𐑑			
bivouacking	𐑚𐑦𐑝𐑫𐑨𐑒𐑦𐑙			
bivouacs	𐑚𐑦𐑝𐑫𐑨𐑒𐑕			
bizjet	𐑚𐑦𐑟𐑡𐑧𐑑			
bizjets	𐑚𐑦𐑟𐑡𐑧𐑑𐑕			
bizonal	𐑚𐑲𐑟𐑴𐑯𐑩𐑤			
blabber	𐑚𐑤𐑨𐑚𐑼			
blabbered	𐑚𐑤𐑨𐑚𐑼𐑛			
blabbermouths	𐑚𐑤𐑨𐑚𐑼𐑥𐑬𐑞𐑟			
blabbers	𐑚𐑤𐑨𐑚𐑼𐑟			
blackamoor	𐑚𐑤𐑨𐑒𐑩𐑥𐑹			
blackamoors	𐑚𐑤𐑨𐑒𐑩𐑥𐑹𐑟			
blackball	𐑚𐑤𐑨𐑒𐑚𐑷𐑤			
blackballing	𐑚𐑤𐑨𐑒𐑚𐑷𐑤𐑦𐑙			
blackballs	𐑚𐑤𐑨𐑒𐑚𐑷𐑤𐑟			
blackberries	𐑚𐑤𐑨𐑒𐑚𐑧𐑮𐑦𐑟			
blackbirds	𐑚𐑤𐑨𐑒𐑚𐑻𐑛𐑟			
blackboards	𐑚𐑤𐑨𐑒𐑚𐑹𐑛𐑟			
blackbody	𐑚𐑤𐑨𐑒𐑚𐑪𐑛𐑦			
blackcurrant	𐑚𐑤𐑨𐑒𐑒𐑳𐑮𐑩𐑯𐑑			
blackcurrants	𐑚𐑤𐑨𐑒𐑒𐑳𐑮𐑩𐑯𐑑𐑕			
blackening	𐑚𐑤𐑨𐑒𐑩𐑯𐑦𐑙			
blackens	𐑚𐑤𐑨𐑒𐑩𐑯𐑟			
blacker	𐑚𐑤𐑨𐑒𐑼			
blackfeet	𐑚𐑤𐑨𐑒𐑓𐑰𐑑			
blackfriars	𐑚𐑤𐑨𐑒𐑓𐑮𐑲𐑼𐑟			
blackguard	𐑚𐑤𐑨𐑜𐑸𐑛			
blackguarded	𐑚𐑤𐑨𐑜𐑸𐑛𐑩𐑛			
blackguarding	𐑚𐑤𐑨𐑜𐑸𐑛𐑦𐑙			
blackguardly	𐑚𐑤𐑨𐑜𐑸𐑛𐑤𐑦			
blackguards	𐑚𐑤𐑨𐑜𐑸𐑛𐑟			
blackhall	𐑚𐑤𐑨𐑒𐑣𐑷𐑤			
blackhead	𐑚𐑤𐑨𐑒𐑣𐑧𐑛			
blackheads	𐑚𐑤𐑨𐑒𐑣𐑧𐑛𐑟			
blackish	𐑚𐑤𐑨𐑒𐑦𐑖			
blackjacks	𐑚𐑤𐑨𐑒𐑡𐑨𐑒𐑕			
blackleg	𐑚𐑤𐑨𐑒𐑤𐑧𐑜			
blacklegged	𐑚𐑤𐑨𐑒𐑤𐑧𐑜𐑩𐑛			
blacklegging	𐑚𐑤𐑨𐑒𐑤𐑧𐑜𐑦𐑙			
blacklegs	𐑚𐑤𐑨𐑒𐑤𐑧𐑜𐑟			
blacklist	𐑚𐑤𐑨𐑒𐑤𐑦𐑕𐑑			
blacklisted	𐑚𐑤𐑨𐑒𐑤𐑦𐑕𐑑𐑩𐑛			
blacklisting	𐑚𐑤𐑨𐑒𐑤𐑦𐑕𐑑𐑦𐑙			
blacklists	𐑚𐑤𐑨𐑒𐑤𐑦𐑕𐑑𐑕			
blackmailers	𐑚𐑤𐑨𐑒𐑥𐑱𐑤𐑼𐑟			
blackmails	𐑚𐑤𐑨𐑒𐑥𐑱𐑤𐑟			
blackpool	𐑚𐑤𐑨𐑒𐑐𐑵𐑤			
blackshirt	𐑚𐑤𐑨𐑒𐑖𐑻𐑑			
blackshirts	𐑚𐑤𐑨𐑒𐑖𐑻𐑑𐑕			
blacksmiths	𐑚𐑤𐑨𐑒𐑕𐑥𐑦𐑔𐑕			
blackspot	𐑚𐑤𐑨𐑒𐑕𐑐𐑪𐑑			
blackthorn	𐑚𐑤𐑨𐑒𐑔𐑹𐑯			
blackthorns	𐑚𐑤𐑨𐑒𐑔𐑹𐑯𐑟			
blackwater	𐑚𐑤𐑨𐑒𐑢𐑷𐑑𐑼			
blackwood	𐑚𐑤𐑨𐑒𐑢𐑫𐑛			
bladders	𐑚𐑤𐑨𐑛𐑼𐑟			
blaeberries	𐑚𐑤𐑱𐑚𐑧𐑮𐑦𐑟			
blaeberry	𐑚𐑤𐑱𐑚𐑧𐑮𐑦			
blaenavon	𐑚𐑤𐑲𐑯𐑨𐑝𐑩𐑯			
blaengwrach	𐑚𐑤𐑲𐑯𐑜𐑮𐑭𐑒			
blaina	𐑚𐑤𐑲𐑯𐑩			
blairgowrie	𐑚𐑤𐑺𐑜𐑬𐑮𐑦			
blamable	𐑚𐑤𐑱𐑥𐑩𐑚𐑩𐑤			
blameable	𐑚𐑤𐑱𐑥𐑩𐑚𐑩𐑤			
blamelessly	𐑚𐑤𐑱𐑥𐑤𐑩𐑕𐑤𐑦			
blamelessness	𐑚𐑤𐑱𐑥𐑤𐑩𐑕𐑯𐑩𐑕			
blameworthy	𐑚𐑤𐑱𐑥𐑢𐑻𐑞𐑦			
blanched	𐑚𐑤𐑨𐑯𐑗𐑑			
blanches	𐑚𐑤𐑨𐑯𐑗𐑩𐑟			
blanching	𐑚𐑤𐑨𐑯𐑗𐑦𐑙			
blancmange	𐑚𐑤𐑩𐑥𐑪𐑯𐑠			
blancmanges	𐑚𐑤𐑩𐑥𐑪𐑯𐑠𐑩𐑟			
blanco	𐑚𐑤𐑭𐑙𐑒𐑴			
blander	𐑚𐑤𐑨𐑯𐑛𐑼			
blandest	𐑚𐑤𐑨𐑯𐑛𐑩𐑕𐑑			
blandishment	𐑚𐑤𐑨𐑯𐑛𐑦𐑖𐑥𐑩𐑯𐑑			
blandishments	𐑚𐑤𐑨𐑯𐑛𐑦𐑖𐑥𐑩𐑯𐑑𐑕			
blandly	𐑚𐑤𐑨𐑯𐑛𐑤𐑦			
blandness	𐑚𐑤𐑨𐑯𐑛𐑯𐑩𐑕			
blanketed	𐑚𐑤𐑨𐑙𐑒𐑩𐑑𐑩𐑛			
blanketing	𐑚𐑤𐑨𐑙𐑒𐑩𐑑𐑦𐑙			
blankly	𐑚𐑤𐑨𐑙𐑒𐑤𐑦			
blankness	𐑚𐑤𐑨𐑙𐑒𐑯𐑩𐑕			
blantyre	𐑚𐑤𐑨𐑯𐑑𐑲𐑼			
blare	𐑚𐑤𐑺			
blared	𐑚𐑤𐑺𐑛			
blares	𐑚𐑤𐑺𐑟			
blase	𐑚𐑤𐑭𐑟𐑱			
blaspheme	𐑚𐑤𐑨𐑕𐑓𐑰𐑥			
blasphemed	𐑚𐑤𐑨𐑕𐑓𐑰𐑥𐑛			
blasphemer	𐑚𐑤𐑨𐑕𐑓𐑰𐑥𐑼			
blasphemers	𐑚𐑤𐑨𐑕𐑓𐑰𐑥𐑼𐑟			
blasphemes	𐑚𐑤𐑨𐑕𐑓𐑰𐑥𐑟			
blasphemies	𐑚𐑤𐑨𐑕𐑓𐑩𐑥𐑦𐑟			
blaspheming	𐑚𐑤𐑨𐑕𐑓𐑰𐑥𐑦𐑙			
blasphemously	𐑚𐑤𐑨𐑕𐑓𐑩𐑥𐑩𐑕𐑤𐑦			
blather	𐑚𐑤𐑨𐑞𐑼			
blathered	𐑚𐑤𐑨𐑞𐑼𐑛			
blathers	𐑚𐑤𐑨𐑞𐑼𐑟			
blazon	𐑚𐑤𐑱𐑟𐑩𐑯			
blazoned	𐑚𐑤𐑱𐑟𐑩𐑯𐑛			
blazoning	𐑚𐑤𐑱𐑟𐑩𐑯𐑦𐑙			
blazonries	𐑚𐑤𐑱𐑟𐑩𐑯𐑮𐑦𐑟			
blazonry	𐑚𐑤𐑱𐑟𐑩𐑯𐑮𐑦			
blazons	𐑚𐑤𐑱𐑟𐑩𐑯𐑟			
bldg	𐑚𐑤𐑛𐑙			
bldgs	𐑚𐑤𐑛𐑙𐑟			
bleaches	𐑚𐑤𐑰𐑗𐑩𐑟			
bleaker	𐑚𐑤𐑰𐑒𐑼			
bleakest	𐑚𐑤𐑰𐑒𐑩𐑕𐑑			
bleakly	𐑚𐑤𐑰𐑒𐑤𐑦			
bleakness	𐑚𐑤𐑰𐑒𐑯𐑩𐑕			
bleared	𐑚𐑤𐑽𐑛			
bleary	𐑚𐑤𐑽𐑦			
bleat	𐑚𐑤𐑰𐑑			
bleated	𐑚𐑤𐑰𐑑𐑩𐑛			
bleating	𐑚𐑤𐑰𐑑𐑦𐑙			
bleats	𐑚𐑤𐑰𐑑𐑕			
bleeped	𐑚𐑤𐑰𐑐𐑑			
bleeping	𐑚𐑤𐑰𐑐𐑦𐑙			
bleeps	𐑚𐑤𐑰𐑐𐑕			
blemished	𐑚𐑤𐑧𐑥𐑦𐑖𐑑			
blemishes	𐑚𐑤𐑧𐑥𐑦𐑖𐑩𐑟			
blemishing	𐑚𐑤𐑧𐑥𐑦𐑖𐑦𐑙			
blench	𐑚𐑤𐑧𐑯𐑗			
blenched	𐑚𐑤𐑧𐑯𐑗𐑑			
blenches	𐑚𐑤𐑧𐑯𐑗𐑩𐑟			
blenching	𐑚𐑤𐑧𐑯𐑗𐑦𐑙			
blenheim	𐑚𐑤𐑧𐑯𐑦𐑥			
blent	𐑚𐑤𐑧𐑯𐑑			
blessedness	𐑚𐑤𐑧𐑕𐑩𐑛𐑯𐑩𐑕			
blesses	𐑚𐑤𐑧𐑕𐑩𐑟			
blest	𐑚𐑤𐑧𐑕𐑑			
bletchley	𐑚𐑤𐑧𐑗𐑤𐑦			
blether	𐑚𐑤𐑧𐑞𐑼			
blethered	𐑚𐑤𐑧𐑞𐑼𐑛			
blethering	𐑚𐑤𐑧𐑞𐑼𐑦𐑙			
blethers	𐑚𐑤𐑧𐑞𐑼𐑟			
blidworth	𐑚𐑤𐑦𐑛𐑢𐑼𐑔			
blighted	𐑚𐑤𐑲𐑑𐑩𐑛			
blighter	𐑚𐑤𐑲𐑑𐑼			
blighters	𐑚𐑤𐑲𐑑𐑼𐑟			
blighting	𐑚𐑤𐑲𐑑𐑦𐑙			
blights	𐑚𐑤𐑲𐑑𐑕			
blighty	𐑚𐑤𐑲𐑑𐑦			
blimps	𐑚𐑤𐑦𐑥𐑐𐑕			
blindfolding	𐑚𐑤𐑲𐑯𐑛𐑓𐑴𐑤𐑛𐑦𐑙			
blindfolds	𐑚𐑤𐑲𐑯𐑛𐑓𐑴𐑤𐑛𐑟			
blindsight	𐑚𐑤𐑲𐑯𐑛𐑕𐑲𐑑			
blinkers	𐑚𐑤𐑦𐑙𐑒𐑼𐑟			
blistered	𐑚𐑤𐑦𐑕𐑑𐑼𐑛			
blistering	𐑚𐑤𐑦𐑕𐑑𐑼𐑦𐑙			
blithe	𐑚𐑤𐑲𐑞			
blithely	𐑚𐑤𐑲𐑞𐑤𐑦			
blithesome	𐑚𐑤𐑲𐑞𐑕𐑩𐑥			
blitzed	𐑚𐑤𐑦𐑑𐑕𐑑			
blitzes	𐑚𐑤𐑦𐑑𐑕𐑩𐑟			
blitzing	𐑚𐑤𐑦𐑑𐑕𐑦𐑙			
blizzards	𐑚𐑤𐑦𐑟𐑼𐑛𐑟			
bloater	𐑚𐑤𐑴𐑑𐑼			
bloaters	𐑚𐑤𐑴𐑑𐑼𐑟			
blobbing	𐑚𐑤𐑪𐑚𐑦𐑙			
blobs	𐑚𐑤𐑪𐑚𐑟			
blockaded	𐑚𐑤𐑪𐑒𐑱𐑛𐑩𐑛			
blockades	𐑚𐑤𐑪𐑒𐑱𐑛𐑟			
blockading	𐑚𐑤𐑪𐑒𐑱𐑛𐑦𐑙			
blockages	𐑚𐑤𐑪𐑒𐑦𐑡𐑩𐑟			
